complaint_id,raw_text,issue_category,jurisdiction_level,assigned_department,officer_title,priority_level,actual_resolution_hours
BAGA-0175,"Power cut in Sadar Bazar for 5 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.5
BAGA-0176,Streetlight not working on Mall Road for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.8
BAGA-0177,Streetlight not working on NH-48 for 2 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.8
BAGA-0178,No speed breakers near school on GT Road,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,315.1
BAGA-0179,Open dumping of waste near college in Sadar Bazar,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,62.5
BAGA-0180,"Power cut in Kothrud for 24 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.6
BAGA-0181,"Transformer burst in Sadar Bazar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.6
BAGA-0182,Handpump in village Pargaon not working for 2 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,83.8
BAGA-0183,"Divider damaged on Ring Road, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,249.2
BAGA-0184,Dirty contaminated water coming from tap in Koregaon Park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,40.8
BAGA-0185,Water pipe burst on MG Road near railway station,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,39.7
BAGA-0186,"Water pressure is very low in MG Road area, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,44.1
BAGA-0187,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.4
BAGA-0188,"Power cut in Kothrud for 12 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.4
BAGA-0189,Streetlight not working on Tilak Road for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.3
BAGA-0190,Voltage fluctuation damaging appliances in Nehru Colony,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.0
BAGA-0191,"Power cut in Koregaon Park for 6 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.7
BAGA-0192,Dirty contaminated water coming from tap in Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,44.2
BAGA-0193,Voltage fluctuation damaging appliances in Aundh,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,3.9
BAGA-0194,"Power cut in Gandhi Nagar for 10 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.1
BAGA-0195,"Water pressure is very low in Sadar Bazar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,34.2
BAGA-0196,"Footpath broken in Laxmi Nagar, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,263.8
BAGA-0197,"Water pressure is very low in Laxmi Nagar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,43.6
BAGA-0198,"Village Bhimashankar needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,97.9
BAGA-0199,Voltage fluctuation damaging appliances in Aundh,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.1
BAGA-0200,Streetlight not working on NH-48 for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.3
BAGA-0201,"Sewer line blocked in Nehru Colony, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,48.8
BAGA-0202,Streetlight not working on Civil Lines Road for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,10.0
BAGA-0203,Overhead tank not filling in our colony Koregaon Park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.8
BAGA-0204,Handpump in village Bhimashankar not working for 10 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,85.0
BAGA-0205,"School building in Rajgurunagar is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,501.1
BAGA-0206,"School building in Rajgurunagar is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,707.4
BAGA-0207,Handpump in village Bhimashankar not working for 2 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,82.0
BAGA-0208,"Bridge near Ambegaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,627.9
BAGA-0209,Open dumping of waste near college in Kothrud,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,46.1
BAGA-0210,Road damaged after monsoon near railway station,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,199.0
BAGA-0211,"Village Mahuli needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,49.6
BAGA-0212,Streetlight not working on Mall Road for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.7
BAGA-0213,"School building in Ambegaon is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,606.8
BAGA-0214,Road damaged after monsoon near temple,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,334.9
BAGA-0215,"Transformer burst in Aundh, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.9
BAGA-0216,Voltage fluctuation damaging appliances in Shivaji Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.4
BAGA-0217,"Transformer burst in Baner, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.6
BAGA-0218,"Footpath broken in Nehru Colony, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,211.3
BAGA-0219,Streetlight not working on Old Mumbai Highway for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.6
BAGA-0220,No speed breakers near school on Tilak Road,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,277.4
BAGA-0221,"Huge pothole on Civil Lines Road near market, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,258.8
BAGA-0222,Streetlight not working on NH-48 for 7 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.9
BAGA-0223,"Power cut in Aundh for 2 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.0
BAGA-0224,Voltage fluctuation damaging appliances in MG Road area,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.6
BAGA-0225,Streetlight not working on GT Road for 7 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.4
BAGA-0226,Water pipe burst on Civil Lines Road near petrol pump,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,26.4
BAGA-0227,"Transformer burst in Baner, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,5.3
BAGA-0228,"Bridge near Kolegaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,588.2
BAGA-0229,Handpump in village Wadgaon not working for 10 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,69.1
BAGA-0230,"Bridge near Wadgaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,512.7
BAGA-0231,Toilet construction incomplete in Ambegaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,86.1
BAGA-0232,Voltage fluctuation damaging appliances in Shivaji Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.1
BAGA-0233,"Water contamination in Mahuli, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,102.5
BAGA-0234,"Huge pothole on GT Road near hospital, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,272.0
BAGA-0235,Water pipe burst on Civil Lines Road near park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,44.9
BAGA-0236,"Sewer line blocked in Koregaon Park, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,58.5
BAGA-0237,Dirty contaminated water coming from tap in Shivaji Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,25.6
BAGA-0238,"Footpath broken in Kothrud, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,333.3
BAGA-0239,Electric pole fallen on road near college in Gandhi Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.4
BAGA-0240,Electric pole fallen on road near temple in MG Road area,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,3.7
BAGA-0241,No speed breakers near school on NH-48,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,311.1
BAGA-0242,Streetlight not working on Ring Road for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.7
BAGA-0243,"Water pressure is very low in MG Road area, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,35.9
BAGA-0244,Garbage not collected for 2 days in Ward 48,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,57.6
BAGA-0245,"Footpath broken in Laxmi Nagar, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,263.7
BAGA-0246,Open dumping of waste near petrol pump in MG Road area,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,52.8
BAGA-0247,Community hall roof collapsed in gram panchayat Bhimashankar,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,528.9
BAGA-0248,Dirty contaminated water coming from tap in Gandhi Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,35.5
BAGA-0249,Water pipe burst on Tilak Road near college,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,29.4
BAGA-0250,"Sewer line blocked in Aundh, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,53.9
BAGA-0251,"Power cut in Nehru Colony for 8 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,12.1
BAGA-0252,Dirty contaminated water coming from tap in Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,34.1
BAGA-0253,Water pipe burst on Tilak Road near school,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,31.1
BAGA-0254,"Water pressure is very low in Koregaon Park, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.6
BAGA-0255,Water pipe burst on Station Road near railway station,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,27.4
BAGA-0256,No speed breakers near school on FC Road,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,254.8
BAGA-0257,"Water contamination in Junnar, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,82.2
BAGA-0258,Electric pole fallen on road near railway station in Shivaji Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.1
BAGA-0259,"Bridge near Ambegaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,616.6
BAGA-0260,"Transformer burst in Sadar Bazar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.8
BAGA-0261,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.7
BAGA-0262,Toilet construction incomplete in Wadgaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,61.9
BAGA-0263,Toilet construction incomplete in Pargaon under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,72.7
BAGA-0264,Voltage fluctuation damaging appliances in Kothrud,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,3.6
BAGA-0265,"Water pressure is very low in Hadapsar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,41.1
BAGA-0266,"Transformer burst in MG Road area, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.0
BAGA-0267,"Village Ambegaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,66.5
BAGA-0268,"Footpath broken in Nehru Colony, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,267.8
BAGA-0269,Handpump in village Pargaon not working for 5 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,69.4
BAGA-0270,"Divider damaged on Old Mumbai Highway, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,220.6
BAGA-0271,Dirty contaminated water coming from tap in Nehru Colony,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,29.6
BAGA-0272,"Drain overflowing on GT Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,40.1
BAGA-0273,"Water pressure is very low in Kothrud, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.3
BAGA-0274,Anganwadi building in Pargaon needs repair,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,622.0
BAGA-0275,Streetlight not working on Ring Road for 10 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.3
BAGA-0276,"Village Junnar needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,83.9
BAGA-0277,"Village Kolegaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,76.1
BAGA-0278,Overhead tank not filling in our colony Koregaon Park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,45.5
BAGA-0279,"Dustbins removed from NH-48, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,64.7
BAGA-0280,"Village Shirgaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,60.4
BAGA-0281,"Divider damaged on Civil Lines Road, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,265.3
BAGA-0282,Open dumping of waste near college in Sadar Bazar,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,49.5
BAGA-0283,"Water pressure is very low in Kothrud, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.3
BAGA-0284,"Water pressure is very low in Baner, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.2
BAGA-0285,Overhead tank not filling in our colony Hadapsar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,31.0
BAGA-0286,Electric pole fallen on road near government office in Aundh,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.9
BAGA-0287,Water pipe burst on Old Mumbai Highway near government office,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,21.0
BAGA-0288,Electric pole fallen on road near park in MG Road area,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.4
BAGA-0289,Dirty contaminated water coming from tap in Laxmi Nagar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.3
BAGA-0290,"Transformer burst in Kothrud, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.8
BAGA-0291,Voltage fluctuation damaging appliances in Kothrud,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.6
BAGA-0292,Community hall roof collapsed in gram panchayat Wadgaon,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,492.1
BAGA-0293,Electric pole fallen on road near park in Sadar Bazar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,12.1
BAGA-0294,"Dustbins removed from NH-48, kachra everywhere",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,67.4
BAGA-0295,"Power cut in Sadar Bazar for 3 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.9
BAGA-0296,Road damaged after monsoon near hospital,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,215.9
BAGA-0297,"Water contamination in Mahuli, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,75.7
BAGA-0298,Toilet construction incomplete in Junnar under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,78.5
BAGA-0299,"Sewer line blocked in Nehru Colony, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,34.3
BAGA-0300,Toilet construction incomplete in Devgad under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,88.8
BAGA-0301,"Water contamination in Shirgaon, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,81.3
BAGA-0302,Water pipe burst on Ring Road near hospital,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.6
BAGA-0303,Overhead tank not filling in our colony Sadar Bazar,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.4
BAGA-0304,"School building in Bhimashankar is dangerous, walls cracking",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,608.4
BAGA-0305,Streetlight not working on MG Road for 5 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,6.6
BAGA-0306,Road damaged after monsoon near petrol pump,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,380.8
BAGA-0307,"Drain overflowing on Station Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,50.0
BAGA-0308,Overhead tank not filling in our colony Kothrud,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,36.5
BAGA-0309,Water pipe burst on NH-48 near park,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,38.9
BAGA-0310,Voltage fluctuation damaging appliances in Nehru Colony,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,11.2
BAGA-0311,"Water pressure is very low in Shivaji Nagar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.4
BAGA-0312,Overhead tank not filling in our colony Aundh,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,39.5
BAGA-0313,"Water pressure is very low in Hadapsar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,39.3
BAGA-0314,Handpump in village Pargaon not working for 10 days,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,102.6
BAGA-0315,No speed breakers near school on Ring Road,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,251.0
BAGA-0316,"Transformer burst in Laxmi Nagar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.9
BAGA-0317,"Huge pothole on Civil Lines Road near bus stand, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,231.5
BAGA-0318,"Sewer line blocked in MG Road area, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,21.2
BAGA-0319,Voltage fluctuation damaging appliances in Baner,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,4.8
BAGA-0320,"Transformer burst in Aundh, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.0
BAGA-0321,"Divider damaged on Old Mumbai Highway, accidents happening",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,306.8
BAGA-0322,"Bridge near Rajgurunagar damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,548.6
BAGA-0323,There is no water supply in Ward 39 since 2 hours,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.0
BAGA-0324,Garbage not collected for 3 days in Ward 14,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,54.8
BAGA-0325,Overhead tank not filling in our colony Kothrud,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,39.1
BAGA-0326,"Village Pargaon needs water tanker, no piped supply",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,106.5
BAGA-0327,Voltage fluctuation damaging appliances in Laxmi Nagar,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,7.0
BAGA-0328,"Sewer line blocked in Shivaji Nagar, sewage on road",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,52.8
BAGA-0329,"Drain overflowing on Civil Lines Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,66.1
BAGA-0330,"Power cut in Shivaji Nagar for 4 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.8
BAGA-0331,"Drain overflowing on Old Mumbai Highway, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,63.4
BAGA-0332,Overhead tank not filling in our colony Aundh,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,33.3
BAGA-0333,"Drain overflowing on Tilak Road, causing health hazard",Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,59.6
BAGA-0334,Village road from Devgad to taluka in terrible condition,Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,627.6
BAGA-0335,"Bridge near Pargaon damaged, vehicles cannot pass",Major Infrastructure & Roads,Rural,Zilla Parishad / State PWD,Block Development Officer (BDO) / PWD Engineer,Low,393.1
BAGA-0336,Open dumping of waste near market in Kothrud,Sanitation & Solid Waste,Urban,Municipal Solid Waste Management,Sanitary Inspector (SI),Medium,51.4
BAGA-0337,"Water pressure is very low in MG Road area, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,37.0
BAGA-0338,"Footpath broken in Baner, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,304.1
BAGA-0339,"Footpath broken in Aundh, elderly people falling",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,272.7
BAGA-0340,Toilet construction incomplete in Devgad under SBM,Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,131.6
BAGA-0341,Water pipe burst on NH-48 near hospital,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,46.7
BAGA-0342,"Power cut in Shivaji Nagar for 2 hours, no update from MSEDCL",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,9.2
BAGA-0343,"Transformer burst in Sadar Bazar, sparks flying — very dangerous",Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.5
BAGA-0344,"Water contamination in Rajgurunagar, children falling sick",Water & Local Sanitation,Rural,Gram Panchayat,Gram Sevak / Jal Surakshak,Medium,63.5
BAGA-0345,"Huge pothole on Tilak Road near college, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,272.8
BAGA-0346,Streetlight not working on Ring Road for 3 days,Electricity,State,State Electricity Board (MSEDCL/MSEB),Junior Engineer (JE) / Lineman,Critical,8.2
BAGA-0347,"Huge pothole on Tilak Road near hospital, very dangerous",Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,385.9
BAGA-0348,Road damaged after monsoon near railway station,Roads & Infrastructure,Urban,Municipal Public Works Department,Executive Engineer (Roads),Medium,289.1
BAGA-0349,Water pipe burst on Ring Road near railway station,Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,42.4
BAGA-0350,"Water pressure is very low in Shivaji Nagar, need urgent fix",Water Supply,Urban,Municipal Water Works Department,Ward Officer / Assistant Engineer,High,32.5
